,title,primaryCategory.categoryId,primaryCategory.categoryName,predictCategory
208,Leica Elmarit-R 90mm F/2.8 E55 R-Cam Lens #21473 G1,3323,Lenses,"Lens Adapters, Mounts & Tubes"
209,【NEAR MINT】MEGA HOUSE SHARAN Leica M3 Model from Japan #60,15230,Film Cameras,Viewfinders & Eyecups
210,"Leica M6 0.72 35mm Rangefinder Film Camera ""Excellent "" #3095",15230,Film Cameras,Film Cameras
211,【Near Mint+3 Case】 Leica Minilux 40mm f/2.4 Point & Shoot Film Camera From JAPAN,15230,Film Cameras,Film Cameras
212,LEICA M6 TTL 0.72 Silver 35mm SLR Rangefinder Film Camera From Japan 0208,15230,Film Cameras,Film Cameras
213,[Top Mint in Box] Leica M6 0.72 Black 35mm Rangefinder Film Camera From Japan,15230,Film Cameras,Film Cameras
214,[As is] Canon 50mm f/1.4 MF Lens L39 Leica Screw Mount LTM from Japan,3323,Lenses,Lenses
215,*Excellent* Leica IIIf Red Dial Self Timer from Japan #3187,15230,Film Cameras,Viewfinders & Eyecups
216,"""EXC+++++"" Leica Leitz Elmar 5cm f/3.5 50mm for L39 Mount From Japan #5179",3323,Lenses,"Lens Adapters, Mounts & Tubes"
217,Leica GMBH Grip 14308  for Motor Drive R 13753,29970,Motor Drives & Winders,"Lens Adapters, Mounts & Tubes"
218,【TOP MINT】 Leica Elmarit M 90mm f/2.8 E46 Black Lens M Mount From JAPAN #942,3323,Lenses,"Lens Adapters, Mounts & Tubes"
219,"VERY RARE KOWA PROMINAR 50mm f1.4  KOWA OPTICAL WORKS,LEICA M MOUNT",3323,Lenses,"Lens Adapters, Mounts & Tubes"
220,Leica APO SUMMICRON R 180mm F2 3cam [NEAR N] from Japan (14067),3323,Lenses,Viewfinders & Eyecups
221,【Near Mint】 Leica Z2X Vario-Elmar 35-70mm Point and Shoot camera From Japan,15230,Film Cameras,Digital Cameras
222,[AS IS] Minolta M-Rokkor 28mm f/2.8 CL CLE Leica M Lens from Japan #10411,3323,Lenses,Lenses
223,【Exc+5】Canon 50mm F/1.8 Leica L39 Screw Mount LTM Lens w/ hood from Japan ＃M-35,3323,Lenses,Lenses
224,Rare! [TOP MINT] Leica M6 Titan Titanium Rangefinder 35mm Camera From Japan #880,15230,Film Cameras,Film Cameras
225,Leica M6 TTL 0.85 35mm Rangefinder Film Camera In Silver With Box #23024,15230,Film Cameras,Film Cameras
226,Canon IIS2 rangefinder camera with Leica LTM39 Exc+++ From Japan#1813,15230,Film Cameras,Film Cameras
227,Brand New!! Leica BC-SCL5 Battery Charger for Leica M10 from Japan,162046,Chargers & Cradles,Viewfinders & Eyecups
228,Leica M6TTL (0.85) Silver 2.59 million units (NL-3629),15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
229,[Top Mint] Voigtlander Super Wide Heliar 15mm F4.5 Aspherical Leica L39 Jp 310,3323,Lenses,"Lens Adapters, Mounts & Tubes"
230,Leica IIIb Rangefinder camera LTM39 From JP#3367,15230,Film Cameras,Film Cameras
231,【For repair】Minolta M Rokkor 90mm f/4 for CLE Leica M Mount from Japan #209-00,3323,Lenses,"Lens Adapters, Mounts & Tubes"
232,MINT- Leica M6 0.72 35mm Rangefinder Film Camera in Silver,15230,Film Cameras,Film Cameras
233,Nikon NIKKOR-H 50mm F2 Leica Nippon Kogaku from TOKYO JAPAN #1832837,3323,Lenses,Viewfinders & Eyecups
234,[Exc+++] Nikon Nikkor-H.C 5cm F2 Black belt(Black aperture) Leica L39 LTM #8082,3323,Lenses,Lenses
235,[Exc+++] Nikon NIKKOR-H 5cm F2 Black belt(Black aperture) Leica L39 LTM #8019,3323,Lenses,Lenses
236,[EXCELLENT+] Canon 7 Rangefinder Film Camera Leica Screw Mount(1676),15230,Film Cameras,Film Cameras
237,[ Near Mint ] LEICA Hand grip For M9 (Steel Gray) From Japan 1340,64343,Straps & Hand Grips,Straps & Hand Grips
238,Nippon Kogaku Nikon W Nikkor 35mm 3.5cm F/2.5 Lens For Leica LTM L39 from Japan,3323,Lenses,Lenses
239,【MINT】Minolta Leica CL 35mm Rangefinder Body From Japan #514,15230,Film Cameras,Film Cameras
240,Excellent+++++ LEICA Leitz M5 35mm Rangefinder Film Camera Body from Japan 024,15230,Film Cameras,Film Cameras
241,【EXC+++++】 Canon 85mm F/1.5 L LTM L39 Leica Screw Mount Rangefinder JAPAN #202,15230,Film Cameras,Lenses
242,Very Good!! Leica ELMAR 35mm f/3.5 Leica M Mount Lens from Japan,3323,Lenses,"Lens Adapters, Mounts & Tubes"
243,【MINT】Leica R7 Black Body 35mm SLR Film Camera From Japan #125,15230,Film Cameras,Film Cameras
244,【EXC++++】 Leica Leitz Wetzlar Summicron C 40mm f/2 for M Mount from JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
245,Genuine CANON Front Lens Cap for 50mm F1.4 LTM Leica screw mount From JAPAN,79001,Lens Caps,Lens Caps
246,【MINT】 Voigtlander Super Wide Heliar 15mm F4.5 Aspherical Leica L39 From JAPAN,3323,Lenses,Viewfinders & Eyecups
247,"Leica IIIc Rangefinder camera ""Exc++""From Japan#4112",15230,Film Cameras,Film Cameras
248,【EXC+3】Leica Leitz Wetzlar Macro-Elmarit-R 2 Cam 60mm f/2.8 Lens From JAPAN #108,3323,Lenses,Viewfinders & Eyecups
249,Leica Leitz Summicron 50mm F/2 Lens for Leica M #22729 C1,3323,Lenses,"Lens Adapters, Mounts & Tubes"
250,Nippon Kogaku Nikkor-Q.C. 5cm F/3.5 Lens Leica LTM L39 from Japan 8316 Exc++,3323,Lenses,Lenses
251,【NEAR MINT】 Canon 50mm f/1.4 Manual MF Lens L39 Leica Screw Mount LTM Japan 1424,3323,Lenses,Lenses
252,【RERA MINT】 Leica III F Gray DBP Rangefinder Red Dial Self Timer From JAPAN #a74,15230,Film Cameras,Film Cameras
253,[Mint] Canon 50mm f/1.4 Leica Screw Mount LTM L39 M39 Lens from Japan,3323,Lenses,Lenses
254,Leica M2 50 M3 28-50 [NEVER USED] from Japan (14078),30059,"Lens Adapters, Mounts & Tubes",Light Meters
255,【MINT-】 Leica M6 TTL 0.58 35mm Film Camera Black From JAPAN,15230,Film Cameras,Film Cameras
256,【Exc++++】Voigtlander Color Skopar 28mm F3.5 Lens Leica L39 Screw Black  473995,3323,Lenses,Lenses
257,Canon 50mm F/1.8 chrome Lens Leica Screw Mount LTM L39 from Japan 139043 Exc++,3323,Lenses,Lenses
258,Genuine LEICA NECK Strap for M8 M4 M6 M2 M3 R9 R8 R7 13683,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
259,[MINT+]Leica M6 0.72 35mm Rangefinder Film Camera In Silver #4259,15230,Film Cameras,Film Cameras
260,"[NearMint] Voigtlander Color-Heliar 75mm F2.5 MC for Leica Lmount w/Hood,",3323,Lenses,"Lens Adapters, Mounts & Tubes"
261,Canon 50mm F1.8 Leica Screw Mount LTM M39  SN163292,3323,Lenses,Lens Caps
262,[EXC+5] Leica IIIF Red Dial 35mm Film Rangefinder Camera Body From JAPAN 372,15230,Film Cameras,Film Cameras
263,【MINT w / Grip】Leica M6 Black body 0.85 35mm Rangefinder Camera From Japan #452,15230,Film Cameras,Film Cameras
264,Leica FOTO GREGOR Tote Bag  Length × width About 29cm x 29cm 13740,169291,Women's Bags & Handbags,"Lens Adapters, Mounts & Tubes"
265,rare! Leica EVF 3 Electronic Viewfinder for D-LUX6,167930,Viewfinders & Eyecups,Viewfinders & Eyecups
266,*Fully Serviced* Leitz Summar 50mm f2 for Leica LTM Year 1938 CLA'd #016198,3323,Lenses,Lenses
267,"""RARE"" LEICA APO ELMARIT-R 180mm F2.8 ROM MF Lens with Case #190602e",3323,Lenses,"Cases, Bags & Covers"
268,【ALMOST MINT IN BOX】Leica M7 0.58 35mm Rangefinder Film Camera BLACK From JAPAN,15230,Film Cameras,Film Cameras
269,【Exc++++】Carl Zeiss Biogon 35mm F2 T* ZM BLACK for Leica M from Japan 478623,3323,Lenses,Viewfinders & Eyecups
270,Asahi Kogaku Takumar 50mm f3.5  f/3.5 for asahi flex  #63699,3323,Lenses,Lens Hoods
271,Genuine Canon case for Canon lens 100mm F/3.5 leica mount 2,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
272,**CLA'd** Canon 50mm F/0.95 Dream Lens Modified to 6-bit code Leica M Mount #566,3323,Lenses,"Lens Adapters, Mounts & Tubes"
273,【AS-IS】 Minolta M Rokkor 28mm f/ 2.8 Leica M Mount for CL CLE from Japan A0235,3323,Lenses,"Lens Adapters, Mounts & Tubes"
274,Very Good Canon 50mm F2.2 L Lens for Leica From Japan,3323,Lenses,Lenses
275,【Exc++】Voigtlander Color-Skopar 50mm F2.5 BLACK for Leica L39 from Japan 478631,3323,Lenses,Viewfinders & Eyecups
276,Leica Summicron 50mm f/2 Ernst Leitz Wetzlar Silver in LTM L39 Screw Mount C591,3323,Lenses,"Lens Adapters, Mounts & Tubes"
277,WOLLENSAK VERITO 7 1/4 Inch F-4 DIFFUSED FOCUS Lens W/ Leica R ring,3323,Lenses,"Lens Adapters, Mounts & Tubes"
278,【NEAR MINT】 MINOLTA M-ROKKOR 40mm F/2 w/Hood Leica M Mount for CL CLE From Japan,3323,Lenses,"Lens Adapters, Mounts & Tubes"
279,"""Mint"" Leica V-LUX1 10.1MP Zoom Digital Camera - Black w/ Bag From Japan   #2426",31388,Digital Cameras,Digital Cameras
280,"【NEAR MINT+2】 Leica CM Originl Leather Camera Case ""Very Rare Case"" from JAPAN",107894,"Cases, Bags & Covers","Cases, Bags & Covers"
281,【Near Mint】Leica Leitz Canada Tele-Elmarit 90mm F/2.8 Lens for Leica M From JP,3323,Lenses,"Lens Adapters, Mounts & Tubes"
282,【Near Mint】 Leica Minilux Zoom Date Vario Elmar 35-70mm f/3.5-6.5 from Japan,15230,Film Cameras,Viewfinders & Eyecups
283,Leica 12538 Hood for Leica M 50mm F/2 #17247#7/4,78999,Lens Hoods,Lens Hoods
284,[Mint in Box] EPSON R-D1x 6.1 MP Rangefinder Digital Camera Leica M JAPAN 5626,31388,Digital Cameras,Digital Cameras
285,【N MINT】MINOLTA M ROKKOR 90mm f4 Lens for CL CLE Leica M Mount from Japan #101,3323,Lenses,"Lens Adapters, Mounts & Tubes"
286,【 ALMOST MINT 】 CANON 50mm F1.4 W/Hood S-50 L39 LTM Leica Screw Mount From JAPAN,3323,Lenses,Lenses
287,Canon 50mm F1.4 L39 M39 LTM Leica Screw Mount Lens from JAPAN [Exc+++] #401390A,3323,Lenses,Lenses
288,Mint Carl Zeiss Biogon 35mm f2 ZM T* For Leica M w/ Caps From Japan F/S #1553,3323,Lenses,Viewfinders & Eyecups
289,Leica C typ 112 white,31388,Digital Cameras,"Lens Adapters, Mounts & Tubes"
290,Chiyoko Minolta Super Rokkor C 5cm 50mm f/2 Leica Screw Mount LTM L39 Lens Exc-,3323,Lenses,Lenses
291,Genuine Canon Early Lens hood 85mm F/1.9 for Leica mount Japan with filter,78999,Lens Hoods,Lens Hoods
292,【MINT】 Canon 35mm f/2.8 Leica Screw Mount LTM L39 Lens from Japan,3323,Lenses,Lenses
293,*N.MINT+++* CANON SERENAR 85mm F/2 w/ Leica M Mount Adapter L39 LTM From JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
294,*EXC+5 W/Filter* Canon 35mm f/1.8 Leica Screw Mount LTM L39 MF Lens from JAPAN,3323,Lenses,Lenses
295,Leica Z2X [In BOX]  w/35-70mm Vario Elmar Fully Working From Japan #91,15230,Film Cameras,Viewfinders & Eyecups
296,Asahi Kogaku Takumar 50mm f3.5  f/3.5 for asahi flex very good #37103,3323,Lenses,Lens Hoods
297,[Excellent] Minolta CLE Rangefinder film Camera Leica M Mount (453-K442),15230,Film Cameras,Film Cameras
298,Tokyo Kogaku Topcor S lens 50mm/F2  Leica 39mm screw mount Junk,3323,Lenses,"Lens Adapters, Mounts & Tubes"
299,Very Good!! Canon 50mm f/1.5 L39 LTM Leica Screw Mount from Japan,3323,Lenses,Lenses
300,Carl Zeiss Jena 5cm F2 Sonnar T Lens w/Filter Leica LTM L39 from Japan Exc+,3323,Lenses,Lenses
301,"【Almost Mint】 Leica M6 Black 0.72 TTL Rangefinder Film Camera , Strap From JAPAN",15230,Film Cameras,Film Cameras
302,Voigtlander Ultron 28mm F/2 Lens for Leica M With Box #21314 F1,3323,Lenses,"Lens Adapters, Mounts & Tubes"
303,"Rare!! ""EXC"" SANKYO KOHKI KOMURA 135mm f3.5 lens leica screw mount From JAPAN",3323,Lenses,"Lens Adapters, Mounts & Tubes"
304,Excellent+++++ Leica Leitz 90mm f/4 L39 Screw Mount Lens From Japan,3323,Lenses,Lenses
305,Canon 100mm f/3.5 for Leica screw L39 LTM Mount Lens **As-is** From JAPAN #372,3323,Lenses,Lenses
306,Voigtlander Color Skopar 28mm F3.5 For Leica L39 Screw Black [Very good] 06-X71,3323,Lenses,Lenses
307,LEICA MINILUX ZOOM 35mm Film Camera Body Only 35-70mm F3.5-6.5 #190715o,15230,Film Cameras,Film Cameras
308,TANAR H.C. 5cm 50mm f2 f/2 Tanaka Kogaku Japan Leica  screw mount  #58260,3323,Lenses,"Lens Adapters, Mounts & Tubes"
309,[Almost MINT] Leica minilux 35mm Film Camera Summarit 40mm f/2.4 From JAPAN #317,15230,Film Cameras,Film Cameras
310,【Near MINT】 Leica minilux 35mm Film Camera Summarit 40mm f/2.4 From JAPAN #341,15230,Film Cameras,Film Cameras
311,Leica M7 0.72 35mm Rangefinder Film Camera In Black With Box #21436,15230,Film Cameras,Film Cameras
312,【Near Mint】 Leica R7 Black Body 35mm SLR Film Camera From JAPAN #270,15230,Film Cameras,Film Cameras
313,Nikon Nippon Kogaku Nikkor-S.C 50mm F/1.4 Lens for Leica L39 #23173 C1,3323,Lenses,Lenses
314,[MINT]Leica M2 35mm Rangefinder Film Camera #4251,15230,Film Cameras,Film Cameras
315,Rare Tokyo Kogaku Topcor lens 50mm/F3.5 Leica 39mm LMT screw mount,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
316,"""Excellent+5"" Canon 50mm F/1.8 Leica L Screw Mount L39 LTM JAPAN #190867",3323,Lenses,Lenses
317,【Almost Mint in Box】 Leica SF20 Shoe Mount Flash for Leica from Japan,48515,Flashes,"Lens Adapters, Mounts & Tubes"
318,【 EXC+++++ 】 Leica MC Light Meter For M2 M3 M4 M4-2 M4-P From Japan #69,88668,Light Meters,Light Meters
319,Canon L2 Leica Screw Mount 35mm Focal-Plane Shutter Rangefinder RF Camera #87,15230,Film Cameras,Film Cameras
320,Canon 35mm F/2 Lens for Leica L39 #18039F5,3323,Lenses,Lenses
321,【EXC+++++!!】 Canon Leica Screw 50mm F/1.8 L mount Lens for Canon 7 from Japan,3323,Lenses,Lens Caps
322,*Good* Leica Z2X Silver 35mm Point & Shoot Film Camera from Japan #3223,15230,Film Cameras,Film Cameras
323,【FILM TESTED! N MINT】 Leica Summilux M 50mm f/1.4 First & Black Model from JAPAN,3323,Lenses,Digital Cameras
324,【TOP MINT in BOX】 Leica Minilux 40mm f/2.4 Point & Shoot From JAPAN #953,15230,Film Cameras,Digital Cameras
325,[Excellent++] Canon 50mm f/1.8 Leica Screw Mount LTM L39 From Japan,3323,Lenses,Lenses
326,*Ex++* Genuine LEICA NECK Strap for M8 M4 M6 M2 M3 R9 R8 R7 13678,64343,Straps & Hand Grips,"Cases, Bags & Covers"
327,Excellent-!! Leica M5 Early Model Black 35mm Rangefinder Film Camera from Japan,15230,Film Cameras,Film Cameras
328,[Near Mint] Canon model llD Rangefinder Camera Leica Screw Mount From Japan,15230,Film Cameras,Film Cameras
329,Excellent-!! PENTAX SMC L 43mm f/1.9 Special Silver L39 LTM Leica Screw Mount,3323,Lenses,Lenses
330,Asahi Kogaku Takumar 58mm f2.4 f/2.4 for asahi flex #60942,3323,Lenses,Lens Hoods
331,SMC ASAHI PENTAX M 135mm f/3.5,3323,Lenses,"Lens Adapters, Mounts & Tubes"
332,Voigtlander SUPER WIDE-HELIAR 15mm f/4.5 Aspherical II Leica M Mount Lens,3323,Lenses,"Lens Adapters, Mounts & Tubes"
333,"[Exc] Canon 50mm f/1.8 w/ Metal Hood, Leica Screw Mount LTM L39 from Japan",3323,Lenses,Lenses
334,Genuine Canon case for Canon lens 100mm F/3.5 leica mount 6,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
335,[Mint] Genuine Leica E 46 E46 UVa 13004 46mm Lens Filter Black from Japan 1263,15216,Filters,"Cases, Bags & Covers"
336,[EXC+5] Leitz Minolta CL Rangefinder Film Camera Body Leica CL From JAPAN #1147,15230,Film Cameras,Film Cameras
337,Voigtlander 15Mm Finder For Wide Lens Leica,3323,Lenses,Viewfinders & Eyecups
338,【 MINT- 】　LEICA LEITZ R6.2 SILVER  #ji147,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
339,Excellent!! Panasonic LEICA DG SUMMILUX 15mm f/1.7 ASPH.Black H-X015-K,3323,Lenses,"Lens Adapters, Mounts & Tubes"
340,【EXC+5】 Canon 50mm F1.4 L39 Leica Screw Mount LTM MF Lens + Hood from JAPAN 864Y,3323,Lenses,Lenses
341,Near MINT Panasonic LUMIX DMC-L1 7.5MP Leica D Vario Elmar 14-50mm from Japan,31388,Digital Cameras,Viewfinders & Eyecups
342,【RARE! / FILM TESTED】 Leica Summicron M 50mm f/2 Collapsible BLACK Repaint JAPAN,3323,Lenses,Digital Cameras
343,[TESTED / Near Mint!] CANON 50mm f1.4 Leica screw mount L39 LTM From JAPAN,3323,Lenses,Lenses
344,[Almost Mint] Canon 35mm f/2 Leica Screw Mount L39 LTM Lens from Japan,3323,Lenses,Lenses
345,[Near Mint++] Canon 50mm f/1.4 Lens Leica Screw Mount LTM L39 from Japan #388,3323,Lenses,Lenses
346,Voigtlander SUPER WIDE-HELIAR 15mm 4.5 ASPH (L39) w/ 15mm Finder EXCELLENT+++++,3323,Lenses,Viewfinders & Eyecups
347,[MINT] Leica Minilux Black 35mm Film Camera Summarit 40mm F2.4 Case Strap JAPAN,15230,Film Cameras,"Cases, Bags & Covers"
348,[ Almost MINT Good Condition CLA ] LEICA IIIc BLACK Paint 35mm Rangefinder JAPAN,15230,Film Cameras,Film Cameras
349,【MINT In Box】 Leica M6 0.72 Non TTL Black Rangefinder Film Camera From Japan 549,15230,Film Cameras,Film Cameras
350,"""Exc+5"" Leitz leicaflex SL Film Camera Black Elmarit-R 35mm 2cam From JAPAN #547",15230,Film Cameras,Film Cameras
351,Canon Serenar 35mm F/3.2 Lens for Leica L 39 With 35mm Finder #22071 G1,3323,Lenses,Lens Hoods
352,LEICA M6 NON TTL 35mm Rangefinder Film Camera Black Body with Box #190712o,15230,Film Cameras,Film Cameras
353,Excellent-!! Konica HEXANON 50mm f/2.4 L39 LTM Leica Screw Mount from Japan,3323,Lenses,Lenses
354,Rare Tokyo Kogaku Topcor-S lens 50mm/F2 Leica 39mm LMT screw mount  #545413,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
355,"""Exc-"" Canon 100mm f/2 Telephoto Lens for Leica Screw Mount L39 LTM From Japan",3323,Lenses,Lenses
356,Very Good!! Leica SUMMICRON 50mm f/2 L39 LTM Leica Screw Mount Lens from Japan,3323,Lenses,Lenses
357,[AS IS] CANON L 50mm f/1.8 Lens Leica Screw Mount L39 LTM for Canon 7 Japan #952,3323,Lenses,Lenses
358,Sharan Leica 3f IIIf MODEL Miniature MINOX Camera,15230,Film Cameras,Digital Cameras
359,VOIGTLANDER COLOR SKOPAR 35mm F2.5P II VM MF Lens for Leica M Mount #190711d,3323,Lenses,"Lens Adapters, Mounts & Tubes"
360,"Nikkor P C 10.5cm f2.5 Nippon Kogaku Leica L39 mount Lens, w.Hood,From JP#8137",3323,Lenses,"Lens Adapters, Mounts & Tubes"
361,Canon model 7 Leica Screw Mount Rangefinder  very good,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
362,LEICA SUMMICRON 50mm F2 E39 Limited Model silver for L39 Screw Mount #190625k,3323,Lenses,"Lens Adapters, Mounts & Tubes"
363,[As is] Canon II D 2D Leica Screw Mount Rangefinder 35mm Film Camera from Japan,15230,Film Cameras,Film Cameras
364,LEICA LEITZ WETZLAR ELMAR 50mm F2.8 Collapsible Lens For M Mount #190712i,3323,Lenses,"Lens Adapters, Mounts & Tubes"
365,Voigtlander SNAPSHOT SKOPAR 25mm F4 MC for Leica L39 Screw Mount Leica M Adapter,3323,Lenses,"Lens Adapters, Mounts & Tubes"
366,"[MINT] Leica CL Body w/ Voigtlander Color-Skopar 21mm F4 MC, Finder and more!",15230,Film Cameras,Viewfinders & Eyecups
367,CANON early chrome ver 50mm/F1.8 Leica 39mm LMT screw mount #150337,3323,Lenses,"Lens Adapters, Mounts & Tubes"
368,RARE【MINT in BOX】 LEICA M6 Black Rangefinder Body CLASSCI LEITZ WETZLAR GMBH 320,15230,Film Cameras,Film Cameras
369,【MINT+3】 Leica Minilux Black 35mm Film Camera Summarit 40mm F2.4 From JAPAN #660,15230,Film Cameras,Film Cameras
370,"[EXC+++++] Leitz Wetzlar Summicron C 40mm f2 Leica M Minolta CLE from Japan ""171",3323,Lenses,Viewfinders & Eyecups
371,【EXC+++++】 Canon VT Leica Screw Mount Rangefinder 35mm Film Camera JAPAN R210,15230,Film Cameras,Film Cameras
372,RARE!! UNUSED IN BOX Carl Zeiss Biogon T* 28mm F/2.8 Black ZM Leica M JAPAN 0337,3323,Lenses,Digital Cameras
373,【MINT】 LEICA LEITZ R6.2 CHROME FILM SLR CAMERA BODY +CAP +MANUAL From Japan,15230,Film Cameras,Film Cameras
374,"""UNUSED"" Voigtlander Nokton Classic 40mm f/1.4 MC Lens VM Leica M From JAPAN 514",3323,Lenses,Viewfinders & Eyecups
375,"""Near Mint"" Minolta M-Rokkor 40mm F/2 Lens for Leica M CL CLE From Japan C599",3323,Lenses,Lenses
376,GENUINE LEICA 46mm UVa  FILTER E46 13004 IN BOX MADE IN GERMANY,15216,Filters,"Cases, Bags & Covers"
377,"""MINT"" LEICA IIIg Barnac type 35mm Rangefinder Film Camera Body Only #190712h",15230,Film Cameras,Film Cameras
378,【Excellent+5】 CANON P 35mm Rangefinder Film Camera Leica Screw Mount from JAPAN,15230,Film Cameras,Film Cameras
379,"Canon SERENAR 50mm F/1.9  Leica LTM 39 Lens, ""Exc"" From Japan#2869",3323,Lenses,Lenses
380,Rare Leotax Leonon Lens 50mm/F2 / Leica 39mm LMT screw mount #230500,3323,Lenses,"Lens Adapters, Mounts & Tubes"
381,"Leica M6 TTL 0.72 35mm Rangefinder Camera in Black ""Excellent ""  #2993",15230,Film Cameras,Film Cameras
382,【N MINT】CANON Lens 50mm f/1.8 LEICA L39 / LTM Screw Mount Chrome Prime Lens,3323,Lenses,Lenses
383,Excellent+5  Canon 50mm f/1.4 L39 Leica Screw Mount LTM Camera Lens From Japan,3323,Lenses,Lenses
384,Canon  Metal Hood for  Leica screw 50/1.8 35/2.8 S-42 50mm f1.8 #770496,78999,Lens Hoods,Lens Hoods
385,1023# ** Excellent ** PANASONIC LEICA D VARIO-ELMARIT 14-50mm 2.8-3.5,3323,Lenses,"Cases, Bags & Covers"
386,CANON Front Lens Cap for 50mm F1.2 LTM Leica screw mount From JAPAN,79001,Lens Caps,Lens Caps
387,MINT Leica M39 screw-mount range finder camera original Leitz shutter releas,64345,Remotes & Shutter Releases,Viewfinders & Eyecups
388,【 Rare! MINT 】 Canon 35mm f/2 Leica Screw Mount L39 LTM Lens from JAPAN #851,3323,Lenses,Lenses
389,"""Near Mint"" Canon 28mm F/2.8 Leica Screw Mount LTM L39 From Japan C595",3323,Lenses,Lenses
390,【MINT】Leitz LEICA VARIO ELMAR-R 70-210 F/4 for Leica R E60 From  JAPAN #129,3323,Lenses,Viewfinders & Eyecups
391,[EXC+++++] Leica SF20 Shoe Mount Flash for Leica from Japan #680,48515,Flashes,"Lens Adapters, Mounts & Tubes"
392,【Almost Mint】Fujinon 10cm 100mm f/2 L39 LTM Leica Screw Mount from JAPAN 756,3323,Lenses,Lenses
393,【TOP MINT IN BOX】Leica R8 Black SLR body Strap + manual + cap From Japan #439,15230,Film Cameras,Film Cameras
394,Near MINT Leica DB2 Data Back for Leica R5 R6 R-E R7 Camera Boxed from Japan,29967,Battery Grips,Digital Cameras
395,Genuine CANON Front Lens Cap for 50mm F1.4 LTM Leica screw mount From JAPAN,79001,Lens Caps,Lens Caps
396,"""NearMINT"" Minolta M Rokkor 90mm f/4 for CLE Leica M mount w/ Hood FromJPN #4991",3323,Lenses,"Lens Adapters, Mounts & Tubes"
397,【N MINT】 Leica M5 Black 35mm Rangefinder Film Camera From JAPAN,15230,Film Cameras,Film Cameras
398,"【MINT】 Canon 85mm F/1.5 II w/ Finder,Hood for L LTM L39 Leica Screw Mount JAPAN",3323,Lenses,Lenses
399,【NEAR MINT+++】LEICA LEITZ MINOLTA CL W/M ROKKOR QF 40MM F/2 WITH CASE FROM JAPAN,15230,Film Cameras,"Cases, Bags & Covers"
400,【EXC+3】 Canon 35mm f/2 Lens For Leica L Screw Mount L39 LTM From JAPAN #054,3323,Lenses,Lenses
401,*Ex++* Leitz Wetzlar Leather Case for Leica M5 LEATHER EVERREADY CASE  10914,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
402,【 EXC+++ 】 CANON 50mm f1.8 L39 LTM Leica Screw Mount Lens from JAPAN,3323,Lenses,Lenses
403,Very Good!! Leica ELMAR-M 50mm f/2.8 Dual Scale from Japan,3323,Lenses,Viewfinders & Eyecups
404,[RARE EXC+5]Tokyo Kogaku Japan Topcor 5cm 50mm f3.5 Leica L39 Mount MF Lens #100,3323,Lenses,Lenses
405,Voigtlander Color Skopar 35mm f/2.5 MC Leica Screw Mount L39 LTM << Excellent >>,3323,Lenses,"Lens Adapters, Mounts & Tubes"
406,[Super Rare! MINT] Canon 35mm f/1.5 Lens for Leica L39 Mount LTM from JAPAN #982,3323,Lenses,Lenses
407,【N.MINT】 LEICA C1 Compact 35mm Camera Vario Elmar 38-105mm ASPH From JAPAN #56,15230,Film Cameras,Digital Cameras
408,【Mint】Leica CL Leitz Minolta Rangefinder film Camera Body from JAPAN ＃297-1,15230,Film Cameras,Film Cameras
409,LEICA ELMAR-M 135mm F2.8 Late Model with Goggle Finder M mount #190730c,3323,Lenses,"Lens Adapters, Mounts & Tubes"
410,Canon 100mm F/3.5 Lens Leica Screw Mount LTM LTM39 from Japan Exc+,3323,Lenses,Lens Caps
411,Leica M6 0.72 Non TTL Black 35mm Rangefinder Camera From JAPAN #914,15230,Film Cameras,Film Cameras
412,【Excellent+++】NIKON NIKKOR-Q 135mm f/3.5 for LEICA SCREW MOUNT LENS from JAPAN,3323,Lenses,Lens Caps
413,"Nikkor P C 10.5cm f2.5  Leica LTM39 mount Lens ""Exc+++"" From JP#9141",3323,Lenses,"Lens Adapters, Mounts & Tubes"
414,"Topcor 5cm F 3.5 Tokyo Kogaku Leica LTM39, ""Exc++"" From Japan#5895",3323,Lenses,Viewfinders & Eyecups
415,"Canon 35mm F2.8 Leica Screw Mount LTM L39 Lens ""MINT"" From Japan#3891",3323,Lenses,Lenses
416,【N MINT】 MINOLTA M Rokkor 40mm F/2 Lens For CL CLE Leica M Mount From JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
417,"Leica M6 TTL 0.72 JAPAN Model 35mm Rangefinder Camera ""Excellent++""  #2999",15230,Film Cameras,Film Cameras
418,***Mint*** Leica M4-P 35mm Rangefinder Film Camera Black Body From Japan #644,15230,Film Cameras,Film Cameras
419,[ Rare! EXC+++++] Canon 35mm f/1.8 Leica Screw Mount LTM L39 MF Lens from JAPAN,3323,Lenses,Lenses
